domain,evaluation_strategy,popularity_notion,algorithm,metric_type,user_group,comparison_group,value,p_value
music,eva_two,pop_one,MostPop,NDCG,low,N/A,0.6395812952322114,
music,eva_two,pop_one,UserKNN,NDCG,low,N/A,0.6460073966027703,
music,eva_two,pop_one,ItemKNN,NDCG,low,N/A,0.6325906096126972,
music,eva_two,pop_one,PMF,NDCG,low,N/A,0.6425875646655879,
music,eva_two,pop_one,NMF,NDCG,low,N/A,0.6361500547971477,
music,eva_two,pop_one,HPF,NDCG,low,N/A,0.6627466871958112,
music,eva_two,pop_one,MostPop,NDCG,med,N/A,0.6234050725637041,
music,eva_two,pop_one,UserKNN,NDCG,med,N/A,0.6164776863442694,
music,eva_two,pop_one,ItemKNN,NDCG,med,N/A,0.6170594159692232,
music,eva_two,pop_one,PMF,NDCG,med,N/A,0.6265736617769089,
music,eva_two,pop_one,NMF,NDCG,med,N/A,0.615406407079429,
music,eva_two,pop_one,HPF,NDCG,med,N/A,0.6396773883749166,
music,eva_two,pop_one,MostPop,NDCG,high,N/A,0.6382037237556429,
music,eva_two,pop_one,UserKNN,NDCG,high,N/A,0.6216893146058377,
music,eva_two,pop_one,ItemKNN,NDCG,high,N/A,0.620503355852058,
music,eva_two,pop_one,PMF,NDCG,high,N/A,0.6257031548118266,
music,eva_two,pop_one,NMF,NDCG,high,N/A,0.6205402440870087,
music,eva_two,pop_one,HPF,NDCG,high,N/A,0.6455150293167004,
music,eva_two,pop_one,MostPop,GAP,low,N/A,191.07895710680629,
music,eva_two,pop_one,UserKNN,GAP,low,N/A,21.32697540977278,
music,eva_two,pop_one,ItemKNN,GAP,low,N/A,-0.2853772973588905,
music,eva_two,pop_one,PMF,GAP,low,N/A,57.172553560411785,
music,eva_two,pop_one,NMF,GAP,low,N/A,14.846776245477988,
music,eva_two,pop_one,HPF,GAP,low,N/A,58.96040613178395,
music,eva_two,pop_one,MostPop,GAP,med,N/A,182.4962513831505,
music,eva_two,pop_one,UserKNN,GAP,med,N/A,35.12900735937033,
music,eva_two,pop_one,ItemKNN,GAP,med,N/A,4.933085629195846,
music,eva_two,pop_one,PMF,GAP,med,N/A,74.02200782735288,
music,eva_two,pop_one,NMF,GAP,med,N/A,20.062912454700367,
music,eva_two,pop_one,HPF,GAP,med,N/A,88.65291100502027,
music,eva_two,pop_one,MostPop,GAP,high,N/A,110.9776531642679,
music,eva_two,pop_one,UserKNN,GAP,high,N/A,31.14042302419002,
music,eva_two,pop_one,ItemKNN,GAP,high,N/A,17.92509471503775,
music,eva_two,pop_one,PMF,GAP,high,N/A,62.3193058024895,
music,eva_two,pop_one,NMF,GAP,high,N/A,27.79173341818593,
music,eva_two,pop_one,HPF,GAP,high,N/A,71.55333068895867,
music,eva_two,pop_one,MostPop,NDCG_TTEST,N/A,low-med,,0.0289321832568187
music,eva_two,pop_one,UserKNN,NDCG_TTEST,N/A,low-med,,3.967065660058491e-05
music,eva_two,pop_one,ItemKNN,NDCG_TTEST,N/A,low-med,,0.0393920195104374
music,eva_two,pop_one,PMF,NDCG_TTEST,N/A,low-med,,0.0307993739184685
music,eva_two,pop_one,NMF,NDCG_TTEST,N/A,low-med,,0.0068051326912168
music,eva_two,pop_one,HPF,NDCG_TTEST,N/A,low-med,,0.0015283929395145
music,eva_two,pop_one,MostPop,NDCG_TTEST,N/A,low-high,,0.8788382720530379
music,eva_two,pop_one,UserKNN,NDCG_TTEST,N/A,low-high,,0.0063582581199792
music,eva_two,pop_one,ItemKNN,NDCG_TTEST,N/A,low-high,,0.1923152044273691
music,eva_two,pop_one,PMF,NDCG_TTEST,N/A,low-high,,0.0624600048881377
music,eva_two,pop_one,NMF,NDCG_TTEST,N/A,low-high,,0.0952650125487582
music,eva_two,pop_one,HPF,NDCG_TTEST,N/A,low-high,,0.0585353414896742
music,eva_two,pop_one,MostPop,NDCG_TTEST,N/A,med-high,,0.0456990698025005
music,eva_two,pop_one,UserKNN,NDCG_TTEST,N/A,med-high,,0.4867841707455663
music,eva_two,pop_one,ItemKNN,NDCG_TTEST,N/A,med-high,,0.6511216027884359
music,eva_two,pop_one,PMF,NDCG_TTEST,N/A,med-high,,0.907155581938067
music,eva_two,pop_one,NMF,NDCG_TTEST,N/A,med-high,,0.4981676433815543
music,eva_two,pop_one,HPF,NDCG_TTEST,N/A,med-high,,0.4344507437694275
music,eva_two,pop_one,MostPop,GAP_TTEST,N/A,low-med,,0.1808171776352238
music,eva_two,pop_one,UserKNN,GAP_TTEST,N/A,low-med,,2.346644961991681e-06
music,eva_two,pop_one,ItemKNN,GAP_TTEST,N/A,low-med,,0.0465723124811111
music,eva_two,pop_one,PMF,GAP_TTEST,N/A,low-med,,1.665583876338917e-05
music,eva_two,pop_one,NMF,GAP_TTEST,N/A,low-med,,0.0564337737238043
music,eva_two,pop_one,HPF,GAP_TTEST,N/A,low-med,,5.6174783753768735e-12
music,eva_two,pop_one,MostPop,GAP_TTEST,N/A,low-high,,3.3354191576944403e-32
