domain,evaluation_strategy,popularity_notion,algorithm,metric_type,user_group,comparison_group,value,p_value
music,eva_two,pop_one,MostPop,NDCG,low,N/A,0.6395451374443802,
music,eva_two,pop_one,UserKNN,NDCG,low,N/A,0.6339427547664587,
music,eva_two,pop_one,ItemKNN,NDCG,low,N/A,0.6336059440056403,
music,eva_two,pop_one,PMF,NDCG,low,N/A,0.6385930813591174,
music,eva_two,pop_one,NMF,NDCG,low,N/A,0.6443533140148675,
music,eva_two,pop_one,HPF,NDCG,low,N/A,0.6269270328637038,
music,eva_two,pop_one,MostPop,NDCG,med,N/A,0.6158101912493367,
music,eva_two,pop_one,UserKNN,NDCG,med,N/A,0.6164675427759072,
music,eva_two,pop_one,ItemKNN,NDCG,med,N/A,0.6131246143541768,
music,eva_two,pop_one,PMF,NDCG,med,N/A,0.642917268376353,
music,eva_two,pop_one,NMF,NDCG,med,N/A,0.6138492199416303,
music,eva_two,pop_one,HPF,NDCG,med,N/A,0.6041720307259737,
music,eva_two,pop_one,MostPop,NDCG,high,N/A,0.6032063977774025,
music,eva_two,pop_one,UserKNN,NDCG,high,N/A,0.6139053331372466,
music,eva_two,pop_one,ItemKNN,NDCG,high,N/A,0.6092194642274141,
music,eva_two,pop_one,PMF,NDCG,high,N/A,0.6520004982376039,
music,eva_two,pop_one,NMF,NDCG,high,N/A,0.6067078322239179,
music,eva_two,pop_one,HPF,NDCG,high,N/A,0.6226964991229347,
music,eva_two,pop_one,MostPop,GAP,low,N/A,-45.20198651374685,
music,eva_two,pop_one,UserKNN,GAP,low,N/A,-62.95476770812935,
music,eva_two,pop_one,ItemKNN,GAP,low,N/A,-68.98673983043466,
music,eva_two,pop_one,PMF,GAP,low,N/A,186.81794971195853,
music,eva_two,pop_one,NMF,GAP,low,N/A,-44.9618994588583,
music,eva_two,pop_one,HPF,GAP,low,N/A,-34.09731482984241,
music,eva_two,pop_one,MostPop,GAP,med,N/A,-54.99031181544064,
music,eva_two,pop_one,UserKNN,GAP,med,N/A,-65.76225265243329,
music,eva_two,pop_one,ItemKNN,GAP,med,N/A,-75.84969298256861,
music,eva_two,pop_one,PMF,GAP,med,N/A,175.97480332879002,
music,eva_two,pop_one,NMF,GAP,med,N/A,-53.279257319236365,
music,eva_two,pop_one,HPF,GAP,med,N/A,-37.168592952571885,
music,eva_two,pop_one,MostPop,GAP,high,N/A,-40.638822136374806,
music,eva_two,pop_one,UserKNN,GAP,high,N/A,-50.96478909421079,
music,eva_two,pop_one,ItemKNN,GAP,high,N/A,-60.48554449645944,
music,eva_two,pop_one,PMF,GAP,high,N/A,106.60291493822844,
music,eva_two,pop_one,NMF,GAP,high,N/A,-37.85566066904148,
music,eva_two,pop_one,HPF,GAP,high,N/A,-22.073560034401986,
music,eva_two,pop_one,MostPop,NDCG_TTEST,N/A,low-med,,0.0017489417393891
music,eva_two,pop_one,UserKNN,NDCG_TTEST,N/A,low-med,,0.017932545418681
music,eva_two,pop_one,ItemKNN,NDCG_TTEST,N/A,low-med,,0.0066170575272063
music,eva_two,pop_one,PMF,NDCG_TTEST,N/A,low-med,,0.5705188645622297
music,eva_two,pop_one,NMF,NDCG_TTEST,N/A,low-med,,5.121644758983071e-05
music,eva_two,pop_one,HPF,NDCG_TTEST,N/A,low-med,,0.0023726190603736
music,eva_two,pop_one,MostPop,NDCG_TTEST,N/A,low-high,,7.109730602869489e-05
music,eva_two,pop_one,UserKNN,NDCG_TTEST,N/A,low-high,,0.0303446455996149
music,eva_two,pop_one,ItemKNN,NDCG_TTEST,N/A,low-high,,0.0075484127678178
music,eva_two,pop_one,PMF,NDCG_TTEST,N/A,low-high,,0.1446562096001434
music,eva_two,pop_one,NMF,NDCG_TTEST,N/A,low-high,,5.350166353402243e-05
