domain,evaluation_strategy,popularity_notion,algorithm,metric_type,user_group,comparison_group,value,p_value
music,eva_two,pop_one,MostPop,NDCG,low,N/A,0.6382550996979433,
music,eva_two,pop_one,UserKNN,NDCG,low,N/A,0.6341731583169765,
music,eva_two,pop_one,ItemKNN,NDCG,low,N/A,0.6348809725012229,
music,eva_two,pop_one,PMF,NDCG,low,N/A,0.6404394969859474,
music,eva_two,pop_one,NMF,NDCG,low,N/A,0.6456207889932599,
music,eva_two,pop_one,HPF,NDCG,low,N/A,0.6282235596391195,
music,eva_two,pop_one,MostPop,NDCG,med,N/A,0.6117803698539284,
music,eva_two,pop_one,UserKNN,NDCG,med,N/A,0.6112767720992899,
music,eva_two,pop_one,ItemKNN,NDCG,med,N/A,0.6066453117561564,
music,eva_two,pop_one,PMF,NDCG,med,N/A,0.6350221135261807,
music,eva_two,pop_one,NMF,NDCG,med,N/A,0.6175090191152197,
music,eva_two,pop_one,HPF,NDCG,med,N/A,0.6057906191337349,
music,eva_two,pop_one,MostPop,NDCG,high,N/A,0.6041366474084819,
music,eva_two,pop_one,UserKNN,NDCG,high,N/A,0.6111985794884288,
music,eva_two,pop_one,ItemKNN,NDCG,high,N/A,0.6090344118447394,
music,eva_two,pop_one,PMF,NDCG,high,N/A,0.6418899449840326,
music,eva_two,pop_one,NMF,NDCG,high,N/A,0.608575941283821,
music,eva_two,pop_one,HPF,NDCG,high,N/A,0.624803403541611,
music,eva_two,pop_one,MostPop,GAP,low,N/A,-31.92265533670538,
music,eva_two,pop_one,UserKNN,GAP,low,N/A,-53.39969016075023,
music,eva_two,pop_one,ItemKNN,GAP,low,N/A,-63.86638858186613,
music,eva_two,pop_one,PMF,GAP,low,N/A,178.88582623454283,
music,eva_two,pop_one,NMF,GAP,low,N/A,-32.0660406611527,
music,eva_two,pop_one,HPF,GAP,low,N/A,-23.568120629653823,
music,eva_two,pop_one,MostPop,GAP,med,N/A,-38.74595252736846,
music,eva_two,pop_one,UserKNN,GAP,med,N/A,-52.59773023990334,
music,eva_two,pop_one,ItemKNN,GAP,med,N/A,-68.81268320429712,
music,eva_two,pop_one,PMF,GAP,med,N/A,165.5592802528421,
music,eva_two,pop_one,NMF,GAP,med,N/A,-38.16974162733571,
music,eva_two,pop_one,HPF,GAP,med,N/A,-23.367691459516298,
music,eva_two,pop_one,MostPop,GAP,high,N/A,-28.26681078159653,
music,eva_two,pop_one,UserKNN,GAP,high,N/A,-38.99712600236924,
music,eva_two,pop_one,ItemKNN,GAP,high,N/A,-51.43342588795239,
music,eva_two,pop_one,PMF,GAP,high,N/A,99.80139931148574,
music,eva_two,pop_one,NMF,GAP,high,N/A,-25.45214701707137,
music,eva_two,pop_one,HPF,GAP,high,N/A,-13.616775231486638,
music,eva_two,pop_one,MostPop,NDCG_TTEST,N/A,low-med,,0.0005561611262634
music,eva_two,pop_one,UserKNN,NDCG_TTEST,N/A,low-med,,0.0018352540405701
music,eva_two,pop_one,ItemKNN,NDCG_TTEST,N/A,low-med,,0.0002258839513702
music,eva_two,pop_one,PMF,NDCG_TTEST,N/A,low-med,,0.4806585222581135
music,eva_two,pop_one,NMF,NDCG_TTEST,N/A,low-med,,0.0001670937253479
music,eva_two,pop_one,HPF,NDCG_TTEST,N/A,low-med,,0.0028591648624045
music,eva_two,pop_one,MostPop,NDCG_TTEST,N/A,low-high,,0.0002180681421577
music,eva_two,pop_one,UserKNN,NDCG_TTEST,N/A,low-high,,0.0120612417303985
music,eva_two,pop_one,ItemKNN,NDCG_TTEST,N/A,low-high,,0.0055061547598205
music,eva_two,pop_one,PMF,NDCG_TTEST,N/A,low-high,,0.8757580071601123
music,eva_two,pop_one,NMF,NDCG_TTEST,N/A,low-high,,5.2233904228829534e-05
